ppg1,ppg2,ppg3
130691,303778,435303
130762,303888,435480
130815,304053,435410
130841,304112,435560
130902,304306,435564
130970,304352,435630
131032,304485,435698
131089,304654,435852
131071,304598,435949
131119,304719,435798
131165,304774,435755
131053,304265,435505
130424,302870,434388
129611,301428,433622
129206,300923,433326
129224,301010,433361
129474,301309,433606
129751,301730,433877
130012,302150,434102
130197,302431,434381
130357,302746,434628
130560,303312,434668
130749,303657,434971
130774,303601,434974
130765,303598,435035
130707,303411,434899
130666,303246,434788
130716,303390,434802
130767,303453,434858
130810,303506,434889
130921,303774,435052
131031,303956,435286
131070,304050,435233
131131,304115,435268
131199,304355,435355
131237,304352,435413
131292,304300,435494
131312,304497,435413
131325,304540,435619
131377,304622,435760
131418,304778,435633
131437,304805,435670
131364,304418,435406
130897,303280,434662
130221,301838,433583
129665,301151,433236
129548,301026,433158
129740,301442,433493
130063,301870,433597
130282,302077,433924
130439,302319,434083
130610,302718,434285
130796,303159,434457
131026,303471,434773
131098,303618,434809
131056,303528,434952
131038,303361,434791
130965,303320,434601
130985,303236,434692
131030,303475,434687
131131,303585,434923
131189,303738,434999
131321,303958,434958
131403,304079,435087
131460,304199,435228
131526,304395,435150
131526,304365,435283
131597,304557,435315
131630,304515,435465
131688,304655,435373
131753,304801,435632
131760,304912,435720
131833,304898,435588
131820,304899,435549
131651,304174,434976
130978,302646,433963
130377,301759,433428
130166,301432,433183
130304,301677,433564
130543,301942,433628
130739,302313,433952
130955,302637,434068
131064,302873,434256
131209,303354,434457
131414,303812,434644
131530,303984,434714
131582,303897,434865
131527,303868,434720
131462,303761,434735
131476,303637,434621
131503,303746,434752
131623,303925,434796
131703,304050,434884
131783,304252,435103
131863,304447,435113
131921,304530,435234
131955,304658,435279
132000,304729,435335
132062,304963,435453
132097,304978,435528
132111,305136,435506
132192,305160,435567
132227,305350,435556
132217,305288,435770
132266,305276,435703
132250,305088,435592
132016,304150,434737
131426,302810,433833
130968,301956,433421
130944,301792,433398
131121,302351,433577
131452,302907,433955
131773,303430,434266
132025,303838,434420
132157,304133,434723
132289,304447,434913
132384,304800,435017
132481,305179,435223
132584,305264,435251
132565,305195,435200
132538,305118,435121
132529,304919,435046
132579,305046,435176
132627,305122,435060
132715,305294,435115
132786,305372,435131
132816,305590,435213
132887,305614,435116
132921,305686,435275
132975,305732,435031
133017,305770,435283
133067,305828,435354
133100,305854,435258
133152,305928,435404
133156,306014,435437
133198,306088,435420
133209,305963,435269
133191,305785,435271
133031,304855,434633
132765,303813,433810
132395,303053,433422
132297,303092,433289
132394,303243,433498
132494,303511,433642
132603,303793,433804
132666,303917,433789
132734,303938,434103
132772,304163,434086
132880,304354,434100
132925,304396,434066
132899,304314,434290
132829,304256,434058
132794,304060,434012
132765,304046,433985
132776,304103,433874
132807,304120,434107
132819,304204,434107
132870,304377,434103
132906,304468,434059
132916,304721,434202
132963,304634,434256
132987,304710,434299
133025,304915,434434
133056,304994,434380
133117,304971,434496
133143,305231,434502
133156,305216,434634
133219,305315,434634
133172,305106,434513
